                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.9955,                 1.5042,                 1.3953,                0.39805,                 0.5787,                0.50983,                0.19926,                 2.2839,                 1.4286,                 1.3589,             0.00071702,             0.00071702,             0.00071702
                     67,                 1.9772,                 1.4672,                 1.3921,                0.38546,                0.57049,                0.49126,                0.16973,                 2.4836,                 1.4739,                  1.402,             0.00071402,             0.00071402,             0.00071402
                     68,                  1.978,                 1.4877,                 1.3555,                0.33896,                0.54726,                0.44988,                0.16924,                 2.3384,                 1.5548,                 1.3695,             0.00071102,             0.00071102,             0.00071102
                     69,                 2.0453,                 1.4329,                 1.3588,                0.33896,                0.54726,                0.44988,                0.16924,                 2.3384,                 1.5548,                 1.3695,             0.00070802,             0.00070802,             0.00070802
                     70,                 1.9972,                  1.449,                 1.3432,                0.47872,                0.53775,                0.41937,                0.18089,                 2.0837,                 1.6084,                 1.3475,             0.00070502,             0.00070502,             0.00070502
                     71,                 2.0212,                 1.4813,                 1.4134,                0.50669,                0.49242,                0.42745,                0.15826,                 2.2125,                 1.6183,                 1.4427,             0.00070202,             0.00070202,             0.00070202
                     72,                 1.9847,                 1.4106,                 1.3691,                0.39008,                0.52343,                 0.4715,                0.17279,                 2.1934,                 1.5849,                 1.4317,             0.00069902,             0.00069902,             0.00069902
                     73,                 1.9774,                 1.4551,                 1.3876,                0.39008,                0.52343,                 0.4715,                0.17279,                 2.1934,                 1.5849,                 1.4317,             0.00069602,             0.00069602,             0.00069602
                     74,                 1.9487,                 1.4347,                 1.3043,                0.39281,                0.56024,                 0.5165,                 0.2013,                 2.0935,                 1.5505,                  1.379,             0.00069302,             0.00069302,             0.00069302
                     75,                 1.9328,                 1.4836,                 1.3574,                0.40886,                0.57375,                0.53997,                 0.2404,                 2.0263,                  1.492,                  1.295,             0.00069002,             0.00069002,             0.00069002
                     76,                  1.816,                 1.4457,                 1.3834,                0.40003,                0.52116,                0.48778,                0.13893,                 2.7004,                 1.5344,                 1.4471,             0.00068702,             0.00068702,             0.00068702
                     77,                 1.9986,                 1.3825,                 1.3269,                0.40003,                0.52116,                0.48778,                0.13893,                 2.7004,                 1.5344,                 1.4471,             0.00068402,             0.00068402,             0.00068402
                     78,                 2.0653,                 1.4182,                 1.3382,                0.36483,                 0.5286,                0.46843,                0.12682,                 2.7649,                 1.5776,                 1.4655,             0.00068102,             0.00068102,             0.00068102
                     79,                 1.9857,                 1.3815,                 1.3366,                0.36232,                0.56599,                0.49321,                0.19184,                 2.2694,                 1.5262,                 1.3248,             0.00067802,             0.00067802,             0.00067802
